repo_name,owner_name,full_name,owner_type,description,topics,created_at,size_kb,default_branch,default_branch_commit_sha,forks,stargazers,subscribers,license_key,license_name,license_spdx_id,license_url,language,c_ratio,cpp_ratio,makefile_ratio,cmake_ratio,starlark_ratio,meson_ratio,ninja_ratio,qmake_ratio,c_cpp_ratio,build_lang_ratio,total_lang_kb,html_url,git_url,ssh_url,clone_url,zip_default_branch_url,homepage
gpt4all,nomic-ai,nomic-ai/gpt4all,Organization,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,"ai-chat,llm-inference",2023-03-27T18:49:32Z,46282,main,c7d734518818be946e40ec44644b8b098dd557ab,7770,71375,646,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.009456116874153764,0.5110899789790897,0.0005551574987750973,0.051978020241187285,0.0,0.0,0.0,0.0,0.5205460958532435,0.05253317773996238,1482.8984375,https://github.com/nomic-ai/gpt4all,git://github.com/nomic-ai/gpt4all.git,git@github.com:nomic-ai/gpt4all.git,https://github.com/nomic-ai/gpt4all.git,https://github.com/nomic-ai/gpt4all/archive/refs/heads/main.zip,https://nomic.ai/gpt4all
llama.cpp,ggerganov,ggerganov/llama.cpp,User,LLM inference in C/C++,"ggml,llama",2023-03-10T18:58:00Z,72319,master,d79d8f39b4da6deca4aea8bf130c6034c482b320,10084,69829,558,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.18136879106064635,0.6031810924821833,0.005101923758528589,0.011779124577526298,0.0,0.0,0.0,0.0,0.7845498835428296,0.016881048336054888,9874.875,https://github.com/ggerganov/llama.cpp,git://github.com/ggerganov/llama.cpp.git,git@github.com:ggerganov/llama.cpp.git,https://github.com/ggerganov/llama.cpp.git,https://github.com/ggerganov/llama.cpp/archive/refs/heads/master.zip,
swift,swiftlang,swiftlang/swift,Organization,The Swift Programming Language,,2015-10-23T21:15:07Z,1202917,main,55189bae8e5516967998000deaa0e138a1c9f4fa,10395,67783,2463,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C++,0.04711997905760291,0.4793663971746164,2.1176121805052622e-05,0.008277153413708941,0.0,0.0,0.0,0.0,0.5264863762322193,0.008298329535513993,117826.9189453125,https://github.com/swiftlang/swift,git://github.com/swiftlang/swift.git,git@github.com:swiftlang/swift.git,https://github.com/swiftlang/swift.git,https://github.com/swiftlang/swift/archive/refs/heads/main.zip,https://swift.org
redis,redis,redis/redis,Organization,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.","cache,database,key-value,message-broker,nosql,redis",2009-03-21T22:32:25Z,142487,unstable,dc57ee03b1c5b8f646718e362f3a809a7511ad36,23851,67515,2532,other,Other,NOASSERTION,,C,0.7387940198166926,0.0006420606683522324,0.0027949532551521427,0.0,0.0,0.0,0.0,0.0,0.7394360804850448,0.0027949532551521427,9106.1171875,https://github.com/redis/redis,git://github.com/redis/redis.git,git@github.com:redis/redis.git,https://github.com/redis/redis.git,https://github.com/redis/redis/archive/refs/heads/unstable.zip,http://redis.io
protobuf,protocolbuffers,protocolbuffers/protobuf,Organization,Protocol Buffers - Google's data interchange format,"marshalling,protobuf,protobuf-runtime,protoc,protocol-buffers,protocol-compiler,rpc,serialization",2014-08-26T15:52:15Z,177807,main,dbacaf53ccfbb51145f24ca766e067d3f16be157,15557,66116,2047,other,Other,NOASSERTION,,C++,0.13221587845569147,0.35713368331860873,1.588642629499368e-05,0.004085797110341228,0.023752836788471274,0.0,0.0,0.0,0.48934956177430017,0.027854520325107497,35653.4716796875,https://github.com/protocolbuffers/protobuf,git://github.com/protocolbuffers/protobuf.git,git@github.com:protocolbuffers/protobuf.git,https://github.com/protocolbuffers/protobuf.git,https://github.com/protocolbuffers/protobuf/archive/refs/heads/main.zip,http://protobuf.dev
Ventoy,ventoy,ventoy/Ventoy,User,A new bootable USB solution.,"auto-install,bootable-usb,bsd,chromeos,iso-files,legacy,linux,multiboot,persistence,secure-boot,uefi,unattended,unix,usb,windows",2020-03-10T15:19:19Z,215219,master,b11c38779d319fc6dde97e5e9a45b26e68ddd6e1,4121,63688,662,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,C,0.8413670850874505,0.021054859323576734,0.01240028667952385,0.0,0.0,0.0,0.0,0.00039711521061164094,0.8624219444110273,0.012797401890135491,11462.05859375,https://github.com/ventoy/Ventoy,git://github.com/ventoy/Ventoy.git,git@github.com:ventoy/Ventoy.git,https://github.com/ventoy/Ventoy.git,https://github.com/ventoy/Ventoy/archive/refs/heads/master.zip,https://www.ventoy.net
tesseract,tesseract-ocr,tesseract-ocr/tesseract,Organization,Tesseract Open Source OCR Engine (main repository),"hacktoberfest,lstm,machine-learning,ocr,ocr-engine,tesseract,tesseract-ocr",2014-08-12T18:04:59Z,53733,main,dcb2ef91e852e8360ca73f2c9895d0b65e86d0c1,9598,63394,1693,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C++,0.005103787049836378,0.95802044477683,0.008566122419371812,0.007756060332065432,0.0,0.0,0.0,0.0,0.9631242318266664,0.016322182751437243,7646.7421875,https://github.com/tesseract-ocr/tesseract,git://github.com/tesseract-ocr/tesseract.git,git@github.com:tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract/archive/refs/heads/main.zip,https://tesseract-ocr.github.io/
imgui,ocornut,ocornut/imgui,User,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,"api,cplusplus,framework,game-development,game-engine,gamedev,gui,imgui,immediate-gui,library,multi-platform,native,toolkit,tools,ui",2014-07-21T14:29:47Z,100281,master,6982ce43f5b143c5dce5fab0ce07dd4867b705ae,10443,62103,1038,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.09005589468335437,0.8926460357454203,0.0,0.0,0.0,0.0,0.0,0.0,0.9827019304287747,0.0,4082.03515625,https://github.com/ocornut/imgui,git://github.com/ocornut/imgui.git,git@github.com:ocornut/imgui.git,https://github.com/ocornut/imgui.git,https://github.com/ocornut/imgui/archive/refs/heads/master.zip,
obs-studio,obsproject,obsproject/obs-studio,Organization,OBS Studio - Free and open source software for live streaming and screen recording,"c,c-plus-plus,directshow,facebook-live,ffmpeg,game-capture,live-streaming,screen-capture,twitch-tv,video-recording,youtube-live",2013-10-01T02:40:31Z,73680,master,a0e4e3734126a7e76a871fa671be952de5c13dd8,8067,61192,1453,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,C,0.5623803824768744,0.3552147172978948,0.0,0.03479342758122023,0.0,0.0,0.0,0.0,0.9175950997747692,0.03479342758122023,11750.09765625,https://github.com/obsproject/obs-studio,git://github.com/obsproject/obs-studio.git,git@github.com:obsproject/obs-studio.git,https://github.com/obsproject/obs-studio.git,https://github.com/obsproject/obs-studio/archive/refs/heads/master.zip,https://obsproject.com
git,git,git/git,Organization,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,"c,hacktoberfest,shell",2008-07-23T14:21:26Z,269462,master,76cf4f61c87855ebf0784b88aaf737d6b09f504b,25744,52982,2407,other,Other,NOASSERTION,,C,0.5016163593364483,0.0011638527771859995,0.007434587334779785,0.002050131758290484,0.0,0.004667092394429499,0.0,0.0,0.5027802121136343,0.014151811487499768,22154.1591796875,https://github.com/git/git,git://github.com/git/git.git,git@github.com:git/git.git,https://github.com/git/git.git,https://github.com/git/git/archive/refs/heads/master.zip,
Magisk,topjohnwu,topjohnwu/Magisk,User,The Magic Mask for Android,,2016-09-08T12:42:53Z,60067,master,e73ff679ac09e9025d5d1a6c02400853eba43c47,12805,49702,1548,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,C++,0.0004980281930981415,0.3644376520713769,0.004066161513606715,0.0,0.0,0.0,0.0,0.0,0.36493568026447504,0.004066161513606715,1370.6396484375,https://github.com/topjohnwu/Magisk,git://github.com/topjohnwu/Magisk.git,git@github.com:topjohnwu/Magisk.git,https://github.com/topjohnwu/Magisk.git,https://github.com/topjohnwu/Magisk/archive/refs/heads/master.zip,
FFmpeg,FFmpeg,FFmpeg/FFmpeg,Organization,Mirror of https://git.ffmpeg.org/ffmpeg.git,"audio,c,ffmpeg,fft,hevc,hls,matroska,mp4,mpeg,multimedia,rtmp,rtsp,streaming,video,webm",2011-04-14T14:12:38Z,427937,master,5f38c825367d205e969ecc013a0433adf0f7972b,12277,46942,1457,other,Other,NOASSERTION,,C,0.9028749564600641,0.0019373890747881113,0.013001846429457689,0.0,0.0,0.0,0.0,0.0,0.9048123455348522,0.013001846429457689,71170.4052734375,https://github.com/FFmpeg/FFmpeg,git://github.com/FFmpeg/FFmpeg.git,git@github.com:FFmpeg/FFmpeg.git,https://github.com/FFmpeg/FFmpeg.git,https://github.com/FFmpeg/FFmpeg/archive/refs/heads/master.zip,https://ffmpeg.org/
ImHex,WerWolv,WerWolv/ImHex,User,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.","analyzer,binary-analysis,c-plus-plus,cpp,cybersecurity,dark-mode,dear-imgui,disassembler,forensics,hacking,hacktoberfest,hex-editor,ips,mathematical-evaluator,multi-platform,pattern-language,preprocessor,reverse-engineering,static-analysis,windows",2020-11-10T14:27:00Z,42184,master,0db0bc53fae069a571c87b08b0acf68607fa9401,1985,45596,483,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,C++,0.0,0.9454257405523959,0.0,0.044610499739435885,0.0,0.0,0.0,0.0,0.9454257405523959,0.044610499739435885,2945.83203125,https://github.com/WerWolv/ImHex,git://github.com/WerWolv/ImHex.git,git@github.com:WerWolv/ImHex.git,https://github.com/WerWolv/ImHex.git,https://github.com/WerWolv/ImHex/archive/refs/heads/master.zip,https://imhex.werwolv.net
x64dbg,x64dbg,x64dbg/x64dbg,Organization,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,"binary-analysis,ctf,cybersecurity,debugger,debugging,disassembler,dynamic-analysis,exploit-development,hacking,malware-analysis,offensive-security,oscp,program-analysis,reverse-engineering,security,security-tools,windows,x64,x86,x86-64",2015-04-11T20:48:23Z,61497,development,4fdaf95a62da35cb8245b65863551d4e8562f809,2470,45092,2731,other,Other,NOASSERTION,,C++,0.15322172987733365,0.8379896762050072,0.0,0.0,0.0,0.0,0.0,0.00222535532605867,0.9912114060823408,0.00222535532605867,5478.84765625,https://github.com/x64dbg/x64dbg,git://github.com/x64dbg/x64dbg.git,git@github.com:x64dbg/x64dbg.git,https://github.com/x64dbg/x64dbg.git,https://github.com/x64dbg/x64dbg/archive/refs/heads/development.zip,http://x64dbg.com
json,nlohmann,nlohmann/json,User,JSON for Modern C++,"bson,cbor,header-only,json,json-diff,json-merge-patch,json-parser,json-patch,json-pointer,json-serialization,messagepack,msgpack,rfc-6901,rfc-6902,rfc-7049,rfc-7159,rfc-8259,stl-containers,ubjson",2013-07-04T08:47:49Z,194918,develop,6be4e8560023098fdb6d2047e6e6e5bc5dd52879,6798,43836,763,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.0,0.9697374336992202,0.0031005861850979173,0.019295048189553465,0.0005588450057638154,0.00013289735675820033,0.0,0.0,0.9697374336992202,0.0230873767371734,4622.046875,https://github.com/nlohmann/json,git://github.com/nlohmann/json.git,git@github.com:nlohmann/json.git,https://github.com/nlohmann/json.git,https://github.com/nlohmann/json/archive/refs/heads/develop.zip,https://json.nlohmann.me
grpc,grpc,grpc/grpc,Organization,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",,2014-12-08T18:58:53Z,538689,master,c4aa5c40c881ad786ddaa3eb6dc807985a950647,10613,42188,1354,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C++,0.04154637971749085,0.6940734800759082,0.0,0.0010318509290541454,0.0394946210798274,0.0,0.0,0.0,0.735619859793399,0.04052647200888155,31562.1005859375,https://github.com/grpc/grpc,git://github.com/grpc/grpc.git,git@github.com:grpc/grpc.git,https://github.com/grpc/grpc.git,https://github.com/grpc/grpc/archive/refs/heads/master.zip,https://grpc.io
CPlusPlusThings,Light-City,Light-City/CPlusPlusThings,User,C++那些事,"cplusplus,cpp,cpp11,cpp14",2019-07-14T08:45:45Z,1322,master,c9d0f14d92976a5aa65819e9543e2f812d4079ba,8587,39839,549,,,,,C++,0.008612666275290311,0.875489817055418,0.0,0.0,0.11589751666929175,0.0,0.0,0.0,0.8841024833307083,0.11589751666929175,409.212890625,https://github.com/Light-City/CPlusPlusThings,git://github.com/Light-City/CPlusPlusThings.git,git@github.com:Light-City/CPlusPlusThings.git,https://github.com/Light-City/CPlusPlusThings.git,https://github.com/Light-City/CPlusPlusThings/archive/refs/heads/master.zip,https://light-city.github.io/stories_things/
php-src,php,php/php-src,Organization,The PHP Interpreter,,2011-06-16T01:52:25Z,578036,master,65524e5d53037fd1059d92c7c4b8a211cec60d97,7784,38457,1381,other,Other,NOASSERTION,,C,0.6690238118799405,0.005938802466684819,0.0003425302347956302,0.0,0.0,0.0,0.0,0.0,0.6749626143466254,0.0003425302347956302,95329.74609375,https://github.com/php/php-src,git://github.com/php/php-src.git,git@github.com:php/php-src.git,https://github.com/php/php-src.git,https://github.com/php/php-src/archive/refs/heads/master.zip,https://www.php.net
ClickHouse,ClickHouse,ClickHouse/ClickHouse,Organization,ClickHouse® is a real-time analytics DBMS,"ai,analytics,big-data,clickhouse,cpp,dbms,distributed-database,hacktoberfest,mpp,olap,rust,sql",2016-06-02T08:28:18Z,1650877,master,904a5d9fc991cf2efa019b8bc6fdea844b4ddce4,6987,38223,691,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C++,0.033897265942175556,0.7953776952664533,0.0,0.012722098906399498,0.0,0.0,0.0,0.0,0.8292749612086289,0.012722098906399498,77682.939453125,https://github.com/ClickHouse/ClickHouse,git://github.com/ClickHouse/ClickHouse.git,git@github.com:ClickHouse/ClickHouse.git,https://github.com/ClickHouse/ClickHouse.git,https://github.com/ClickHouse/ClickHouse/archive/refs/heads/master.zip,https://clickhouse.com
wrk,wg,wg/wrk,User,Modern HTTP benchmarking tool,,2012-03-20T11:12:28Z,38743,master,a211dd5a7050b1f9e8a9870b95513060e72ac4a0,2955,38214,754,other,Other,NOASSERTION,,C,0.9595867474171713,0.0041705260657879115,0.012701579384871155,0.0,0.0,0.0,0.0,0.0,0.9637572734829593,0.012701579384871155,205.5908203125,https://github.com/wg/wrk,git://github.com/wg/wrk.git,git@github.com:wg/wrk.git,https://github.com/wg/wrk.git,https://github.com/wg/wrk/archive/refs/heads/master.zip,
leveldb,google,google/leveldb,Organization,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,,2014-08-27T21:17:52Z,1665,main,23e35d792b9154f922b8b575b12596a4d8664c65,7890,36852,1314,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,C++,0.03096687363600372,0.9510973592050458,0.0,0.017935767158950486,0.0,0.0,0.0,0.0,0.9820642328410495,0.017935767158950486,895.3935546875,https://github.com/google/leveldb,git://github.com/google/leveldb.git,git@github.com:google/leveldb.git,https://github.com/google/leveldb.git,https://github.com/google/leveldb/archive/refs/heads/main.zip,
whisper.cpp,ggerganov,ggerganov/whisper.cpp,User,Port of OpenAI's Whisper model in C/C++,"inference,openai,speech-recognition,speech-to-text,transformer,whisper",2022-09-25T18:26:37Z,17513,master,7d55637f0bc8ff1b405f6f18c5c04fe39e4ad389,3744,36554,318,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.2739357732064636,0.46896055388392344,0.0013174312193678238,0.01779001155542114,0.0,0.0,0.0,0.0,0.742896327090387,0.019107442774788964,6038.3251953125,https://github.com/ggerganov/whisper.cpp,git://github.com/ggerganov/whisper.cpp.git,git@github.com:ggerganov/whisper.cpp.git,https://github.com/ggerganov/whisper.cpp.git,https://github.com/ggerganov/whisper.cpp/archive/refs/heads/master.zip,
curl,curl,curl/curl,Organization,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features","c,client,curl,ftp,gopher,hacktoberfest,http,https,imaps,ldap,libcurl,library,mqtt,pop3,scp,sftp,transfer-data,transferring-data,user-agent,websocket",2010-03-18T22:32:22Z,98839,master,bae9d5d780e465d62b5fb78c55250a248fb87016,6483,36409,783,other,Other,NOASSERTION,,C,0.7487406215350868,0.0,0.011713041125152366,0.025547453296262505,0.0,0.0,0.0,0.0,0.7487406215350868,0.03726049442141487,10194.7998046875,https://github.com/curl/curl,git://github.com/curl/curl.git,git@github.com:curl/curl.git,https://github.com/curl/curl.git,https://github.com/curl/curl/archive/refs/heads/master.zip,https://curl.se/
aria2,aria2,aria2/aria2,Organization,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.","bittorrent,cpp11,download,ftp,http,metalink,rpc,sftp",2010-11-27T09:41:48Z,31500,master,b519ce04e3f3a0651fcec43550bc71f09771b069,3633,36293,742,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,C++,0.036544277233411,0.9418972689455598,0.007943078207951655,0.0,0.0,0.0,0.0,0.0,0.9784415461789707,0.007943078207951655,5874.5625,https://github.com/aria2/aria2,git://github.com/aria2/aria2.git,git@github.com:aria2/aria2.git,https://github.com/aria2/aria2.git,https://github.com/aria2/aria2/archive/refs/heads/master.zip,https://aria2.github.io/
tmux,tmux,tmux/tmux,Organization,tmux source code,,2015-06-03T23:32:55Z,17697,master,e75f3a0060971bd9bcd3ff90ef4a6614b05b0963,2143,35876,433,other,Other,NOASSERTION,,C,0.8741972517519736,0.0,0.0020050492423835738,0.0,0.0,0.0,0.0,0.0,0.8741972517519736,0.0020050492423835738,2546.79296875,https://github.com/tmux/tmux,git://github.com/tmux/tmux.git,git@github.com:tmux/tmux.git,https://github.com/tmux/tmux.git,https://github.com/tmux/tmux/archive/refs/heads/master.zip,
TrafficMonitor,zhongyang219,zhongyang219/TrafficMonitor,User,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,,2017-07-30T02:51:17Z,14739,master,496e05024d6bb64c644e2f17bd05b908d7a71002,3293,35585,277,other,Other,NOASSERTION,,C++,0.033935161578884,0.9659387785281215,0.0,0.0,0.0,0.0,0.0,0.0,0.9998739401070055,0.0,1208.5029296875,https://github.com/zhongyang219/TrafficMonitor,git://github.com/zhongyang219/TrafficMonitor.git,git@github.com:zhongyang219/TrafficMonitor.git,https://github.com/zhongyang219/TrafficMonitor.git,https://github.com/zhongyang219/TrafficMonitor/archive/refs/heads/master.zip,
interview,huihut,huihut/interview,User,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation, etc.","algorithm,c,cpp,data-structures,database,interview,interview-practice,interview-preparation,interview-questions,interviews,leetcode,operating-system,stl",2018-02-09T09:49:48Z,5367,master,77b04416e2c7b60750ca3740c2c12e1ee6374500,8002,35131,865,other,Other,NOASSERTION,,C++,0.08499742698279217,0.9029909756128174,0.0,0.012011597404390445,0.0,0.0,0.0,0.0,0.9879884025956096,0.012011597404390445,77.8056640625,https://github.com/huihut/interview,git://github.com/huihut/interview.git,git@github.com:huihut/interview.git,https://github.com/huihut/interview.git,https://github.com/huihut/interview/archive/refs/heads/master.zip,https://interview.huihut.com
